pre_seg_id,post_seg_id,ei_type,pre_struc_type,post_struc_type,pair_count,pre_region,pre_type,post_region,post_type
42920269091,7442640755,2,axon,dendrite,1,Layer 6,pure axon fragment,White matter,excitatory/spiny neuron with atypical tree
65223208468,39470562882,1,axon,dendrite,1,Layer 4,pure axon fragment,Layer 5,pyramidal neuron
38116247407,29527414676,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 4,pyramidal neuron
47784985901,12381795140,2,axon,unknown,1,Layer 3,pure axon fragment,Layer 3,astrocyte
75155027876,3839814791,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
41465600765,6149503191,1,axon,dendrite,1,Layer 5,pure axon fragment,Layer 5,excitatory/spiny neuron with atypical tree
43371148210,34056264908,2,axon,dendrite,1,White matter,pure axon fragment,White matter,pyramidal neuron
21449643760,3282816141,2,axon,dendrite,1,Layer 4,majority axon fragment,Layer 3,pyramidal neuron
37740460907,28453321285,2,axon,dendrite,1,Layer 3,majority axon fragment,Layer 3,excitatory/spiny neuron with atypical tree
48325107440,3067451371,2,axon,dendrite,2,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
40390778046,3998878408,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
54889481746,36402558422,1,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
76494216455,6255244644,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,interneuron
87000352275,34083641900,2,axon,dendrite,1,Layer 5,pure axon fragment,White matter,pyramidal neuron
77877296043,42080520188,1,axon,dendrite,2,Layer 3,pure axon fragment,Layer 3,interneuron
48223146496,39023028469,1,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,interneuron
21001013288,3430550192,1,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,interneuron
23942195156,4815162127,1,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
48995978530,31454862705,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
57642310065,30072060807,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 2,pyramidal neuron
103250490510,32414951939,1,axon,dendrite,1,Layer 3,majority axon fragment,Layer 3,pyramidal neuron
94631198778,5323992539,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
65151385048,3035665442,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
91570755701,29324271012,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 4,pyramidal neuron
46314110364,28627043440,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,excitatory/spiny neuron with atypical tree
45339566178,27216938221,1,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
6031791235,5406867213,2,axon,dendrite,1,Layer 6,majority axon fragment,Layer 5,pyramidal neuron
5078053352,4917879656,2,axon,dendrite,2,Layer 2,majority axon fragment,Layer 2,pyramidal neuron
84652408700,31607093858,2,axon,dendrite,1,White matter,pure axon fragment,White matter,pyramidal neuron
